Evento_ID,Camara,Fecha,Hora,Tipo_Evento,Casco,Chaleco,Estado_EPP,Confianza_Evento,ID_Seguimiento_Temporal,Estado_Revision,Identificacion_Humana,Observaciones_Revision,Foto
EVT-E53AFFDD52BE4C5DAB8BEBF02D03CD4C,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:32:15.841,INCUMPLIMIENTO_EPP,SI,NO,Falta Chaleco,0.917,6,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_143215_837_2D03CD4C.jpg
EVT-BE060CA38EF14AB5A13706226672332D,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:32:19.680,INCUMPLIMIENTO_EPP,NO,SI,Falta Casco,0.7,6,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_143219_680_6672332D.jpg
EVT-12F09BCD14494E4B9127F64A1EB7040D,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:32:23.426,INCUMPLIMIENTO_EPP,NO,NO,Sin Casco y Chaleco,1.0,8,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_143223_426_1EB7040D.jpg
EVT-3AAB0E555CCF452886CDD842D84C7A48,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:32:47.596,INCUMPLIMIENTO_EPP,NO,NO,Sin Casco y Chaleco,1.0,9,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_143247_592_D84C7A48.jpg
EVT-9419A0F240A1424EAD6C17EDE31449C9,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:32:48.742,INCUMPLIMIENTO_EPP,NO,SI,Falta Casco,0.95,9,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_143248_734_E31449C9.jpg
EVT-A62C655C94624253AD9058034C2A3E1B,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:32:52.323,POSIBLE_CAIDA,NO,SI,Falta Casco,0.65,9,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_POSIBLE_CAIDA_20260724_143252_323_4C2A3E1B.jpg
EVT-7FF806AA430B4D35ADE852D50814AC86,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:32:52.745,INCUMPLIMIENTO_EPP,NO,NO,Sin Casco y Chaleco,1.0,9,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_143252_740_0814AC86.jpg
EVT-16B2E071222243CA95E66D1550820F92,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:33:20.705,INCUMPLIMIENTO_EPP,NO,SI,Falta Casco,0.917,10,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_143320_689_50820F92.jpg
EVT-43A4EA9D4A784AB7AD79B8A993813F8D,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:34:21.865,INCUMPLIMIENTO_EPP,NO,NO,Sin Casco y Chaleco,1.0,11,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_143421_865_93813F8D.jpg
EVT-2ACFCD1C20F94C1C8525B848A4EA57F9,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:34:23.314,INCUMPLIMIENTO_EPP,NO,SI,Falta Casco,1.0,11,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_143423_299_A4EA57F9.jpg
EVT-598EB4CF8ACE469A8393CE4D5D57DF14,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:35:07.673,INCUMPLIMIENTO_EPP,NO,SI,Falta Casco,1.0,13,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_143507_673_5D57DF14.jpg
EVT-A22B641A9AA74B2C91F20569003072FC,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:35:09.324,INCUMPLIMIENTO_EPP,NO,SI,Falta Casco,1.0,15,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_143509_324_003072FC.jpg
EVT-1BA332B2149B4CFDAABDC0BFD6CA5F71,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:35:09.340,POSIBLE_CAIDA,NO,SI,Falta Casco,0.65,15,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_POSIBLE_CAIDA_20260724_143509_324_D6CA5F71.jpg
EVT-95AEDF5C8EAE4519B8AD2AD97E919E7F,CAM_PUERTA01_ADM_CONCENTRADORA,2026-07-24,14:38:36.868,INCUMPLIMIENTO_EPP,NO,NO,Sin Casco y Chaleco,1.0,1,PENDIENTE,,,Evidencias\CAM_PUERTA01_ADM_CONCENTRADORA_INCUMPLIMIENTO_EPP_20260724_143836_866_7E919E7F.jpg
